,composition,Eg
943,Li2ZnGe,1.1
944,CuTlSe2,1.07
945,LiB3O5,7.78
946,NaNbSe2O7,3.65
947,Rb3Mn,0.0
948,Ag3Ga3SiSe8,2.3
949,Eu2Ge(BO4)2.60,0.0
950,Cu2ZnSiS4,3.0
951,CoN,0.0
952,PrTe1.9,1.0
953,Nd2Te3,1.12
954,SrLa3MnO8.63,0.0
955,CdS,2.6
956,CdIn2S4,2.6
957,YbAl3,0.0
958,Bi2Te2.1Se0.9,0.29
959,Ba2InGdTe5,1.36
960,V12P7,0.0
961,Fe4O7F,0.0
962,BiSI,1.58
963,CdS0.01Se0.99,1.68
964,Sc7CI12,0.0
965,Cu3GdSe3,0.14
966,GaSb,0.81
967,Rb7Th2P6Se21,2.07
968,Rb3Bi2I9,1.89
969,Pb2SbS2I3,2.0
970,Ba2InNdTe5,1.37
971,Pb2GeSe4O12,4.1
972,RbBi3Se5,0.43
973,Hg0.5Cd0.5Se,0.8
974,Dy3Ga,0.0
975,GaAs,1.43
976,Ca3B2N4,4.1
977,LiZnN,1.91
978,LaIn5Ir,0.0
979,Cu0.7In1.3Se2.3,1.1
980,CeCo4B4,0.0
981,K2Cd3S4,2.75
982,AgAlTe2,1.9
983,CrIrO6,0.0
984,SrO,5.77
985,LiMnP2O7.11,0.0
986,Si2Pd9,0.0
987,Tm3Ge4Pd4,0.0
988,K2S,2.1
989,TiZn3,0.0
990,Cu1.8S,2.3
991,Er2SnAu2,0.0
992,Ga0.3As0.3Zn0.7Se0.7,1.93
993,BaAg,0.0
994,Ba2LiFe2N3.15,0.0
995,PbTe,0.19
996,CsYTe3O8,3.4
997,PbTe,0.32
998,TlSbS2,1.54
999,TlCl,3.21
1000,Sr2Cu(ClO)2.139,0.0
1001,ZrSb,0.0
1002,TlBr,3.02
1003,Pb0.83Sn0.17Te,0.15
1004,ThFe2Ge2,0.0
1005,UCr4C4,0.0
1006,YAl10Fe2,0.0
1007,CdIn2S4,2.2
1008,La2BaTe5O14,3.81
1009,NiN,0.0
1010,LaBPt3,0.0
1011,SnS0.25Se0.75,0.99
1012,YAlGe,0.0
1013,Sr2Bi5.42La2.58S14,1.0
1014,PbTe,0.25
1015,YSi2Cu2,0.0
1016,AgGaSe2,1.8
1017,K8Al8Si38,1.4
1018,Zn0.8Hg0.2Se,1.4
1019,Sm3OsO7,0.0
1020,LaCd2,0.0
1021,CuMoO4,0.0
1022,Eu3BWO9.173,0.0
1023,TiTc2Sb,0.0
1024,ThSi2Ru2,0.0
1025,Zn0.43Cd0.57Se,2.8
1026,RbWO3,0.0
1027,La2Ge5Rh3,0.0
1028,GeAs2,1.06
1029,LuP,1.3
1030,Bi2YVO8,2.09
1031,Ca2CdAs2,0.95
1032,Ti5B12O26,0.0
1033,AsI3,2.47
1034,SmCo2Si2,0.0
1035,CaB6,4.5
1036,LiInS2,3.57
1037,Bi2Mo3O12,2.9
1038,Sb2O3,3.31
1039,SrS,4.76
1040,La2PdO4,0.0
1041,K10Zn4Sn4S17,3.2
1042,Na2KSb,1.1
1043,Be22Re,0.0
1044,Sn0.5GaZn5.5O8,2.99
1045,CdSnAs2,0.26
1046,Cd4As2Br3,1.88
1047,Mn3PtN,0.0
1048,OsSb2,0.3
1049,ZrRu3C,0.0
1050,ZrAlPt,0.0
1051,CuBS2,3.61
1052,Ba2SnSe4,1.9
1053,GaTe,1.8
1054,CuGaS2,2.43
1055,SnTe,0.3
1056,Cr2P3O11,0.0
1057,CrSi2,1.3
1058,Cd3As2,0.19
1059,InAs,0.36
1060,V3CrO10,0.0
1061,Ho4Ga16Co3,0.0
1062,ReIr3,0.0
1063,YbBa4(CuO3)3.223,0.0
1064,Na2Be4B4O11,7.3
1065,HfTl3,0.0
1066,CdCl2,5.7
1067,RbBiS2,1.2
1068,BaGe2,1.0
1069,Ba2GaNdSe5,2.18
1070,BaCuSbS3,2.0
1071,ZnTe,2.3
1072,Pb0.9Sn0.1Se,0.12
1073,Li3AlP2,2.75
1074,CdSb,0.56
1075,V3CuO8,0.0
1076,CdPd,0.0
1077,RbSbTe2,0.38
1078,Pb0.85Sn0.15Se,0.13
1079,CaS,6.0
1080,InSe,1.3
1081,Mg2Pb,0.04
1082,CdSnP2,1.4
1083,AlFe2Si,0.0
1084,Al9Ir2,0.0
1085,ZnAs2,0.9
1086,SrPr2S4,2.7
1087,NdCr2Si2,0.0
1088,K2RbSb,1.2
1089,CaB2Ir2,0.0
1090,MnFeCoGe.216,0.0
1091,Pb2Nb2Se4O15,2.79
1092,NaAsS2,2.23
1093,Gd2Te3,0.74
1094,CaNd2S4,2.7
1095,Zr7P4,0.0
1096,Hg0.7Cd0.3Te,0.27
1097,MnSb2O4,2.65
1098,Cs2CrCl4,0.0
1099,Li3ScN2,2.9
1100,YFMoO4,3.78
1101,DyN,2.1
1102,ThFe2SiC.63,0.0
1103,Ba6Al4B14O33,3.44
1104,HoTiO3,0.0
1105,HfInCu2,0.0
1106,CdIn2Te4,1.12
1107,Ba2InErTe5,1.35
1108,CaO,7.03
1109,NaIn3Se5,2.17
1110,Cd0.95Te0.95Al0.05Sb0.05,1.37
1111,Pb0.98Te0.98Ge0.02S0.02,0.34
1112,ZnHg3Se2Cl4,2.23
1113,Eu2Ga2GeS7,2.3
1114,GaS,2.58
1115,LaNi12B6,0.0
1116,Ba2AsGaSe5,1.39
1117,Ce4Ge3S12,2.3
1118,Hg0.77Cd0.23Te,0.12
1119,AgTlTe2,0.1
1120,Tb2Sb5,0.0
1121,ErRe2O8,0.0
1122,Li3Mn2(CoO4)2.1,0.0
1123,CsInGeS4,2.1
1124,Hf2Tl,0.0
1125,Hg3As,0.0
1126,Ba2GaGdTe5,1.12
1127,Cu2Ta11O30,2.59
1128,Li2Sn5,0.0
1129,Dy5Sn3,0.0
1130,ZnO,3.44
1131,CdSiP2,2.1
1132,Sb2Te3,0.28
1133,GeS,1.77
1134,GaSe,2.02
1135,P2O5,0.0
1136,Rb3Al3Ge7S20,3.1
1137,NaH3Se2O6,4.9
1138,BaSn2S5,2.35
1139,PmMgCd2,0.0
1140,LiMgSnPd.216,0.0
1141,Ce3NbS3O4.55,0.0
1142,Cd4LuB3O10,3.7
1143,InSe,1.35
1144,TlInSe2,1.4
1145,NaNO2,3.1
1146,GaAs,1.51
1147,ZnGeN2,2.9
1148,U2Cr30P19,0.0
1149,Eu2O3,4.5
1150,Ce3SiPt5,0.0
1151,CdGeAs2,0.61
1152,CdSb,0.43
1153,Zn0.55S0.55Ga0.45P0.45,2.4
1154,CsI,6.4
1155,Ca3Al2Ge3,0.0
1156,Mg3As2,2.55
1157,Sm1.82Lu2.18Se6,1.51
1158,PAs,0.23
1159,AgO,1.57
1160,KI,5.92
1161,LiLu2Pd,0.0
1162,Sc6NiTe2,0.0
1163,NdCuOS,2.98
1164,La2CoTiO6,1.02
1165,In0.1As0.1Ga0.9P0.9,2.25
1166,MnSb3(PO4)6.146,0.0
1167,ZnTe,2.25
1168,NaBiS2,0.38
1169,RbAg2SbS4,2.3
1170,Ge0.92Si0.08,0.72
1171,Ca2Ti9O13,0.0
1172,Ba7B3O9F5,4.94
1173,CdTe,1.43
1174,DyTe1.45,0.6
1175,Nd2ZrS5,1.83
1176,Ce2Sb3Pd9,0.0
1177,Mg2Sn,0.3
1178,Sr5Sn3,0.0
1179,TmSiCu,0.0
1180,UY4O3S5,1.95
1181,Cu2Te,1.02
1182,CaAgF5,0.0
1183,GaTe,1.67
1184,Nd2YbCuS5,1.35
1185,Sb2Te,0.0
1186,ZnSe,2.76
1187,ZnO,3.42
1188,ZnO,3.25
1189,Li5Fe2Ni3O10.2,0.0
1190,In2As2O5Cl2,4.62
1191,Cs4Ag9Sb4S12,2.0
1192,TaGaS2,2.56
1193,GaAs0.05Sb0.95,1.28
1194,PbCl2,4.1
1195,Mg2CuWO6.1,0.0
1196,LiInSe2,2.83
1197,Rb3Sb2Br9,2.48
1198,Sn2SbS2I3,1.5
1199,TlCr5S8,1.01
1200,Li2InAg,0.0
1201,Ag0.2Cd0.75In2.1Te4,0.54
1202,SmAlCu,0.0
1203,HoCdCu4,0.0
1204,SbSeI,1.66
1205,NaB15,0.32
1206,Ce2Te3,1.22
1207,Ti2TcPd,0.0
1208,Ga0.75As0.75Zn0.25Se0.25,1.51
1209,Pb0.83Sn0.17Se,0.04
1210,SmSiCu,0.0
1211,Sb2Te3,0.19
1212,SrGe2,0.9
1213,HfB4Ir3,0.0
1214,BiZn2VO6,2.4
1215,Pr4InSbSe9,1.89
1216,YbCaInSe4.62,0.0
1217,LaHg,0.0
1218,HoGeAu,0.0
1219,Ag4Ba6Sn4S16,2.37
1220,Sm6Br13,0.0
1221,La3FMo4O16,3.7
1222,Bi38ZnO58,2.88
1223,KUCuSe3.63,0.0
1224,CdCl2,5.8
1225,Eu3In2P4,0.45
1226,SnGa2GeS6,2.04
1227,Ho3AlC,0.0
1228,TmMnO3,0.0
1229,KI,5.61
1230,AlSb,1.6
1231,Hg3ZnS2Cl4,2.65
1232,GaN,3.5
1233,PrCo2Ge2,0.0
1234,TlCu6S4,0.0
1235,Cd3As2,0.14
1236,Ba4Ga4SnSe12,2.16
1237,Cu0.99Ga1.01Se2.01,1.59
1238,As2S3,2.5
1239,Li2B6,2.0
1240,Ca5Sn4S13,0.0
1241,U3Bi4,0.0
1242,YbMn2As2,0.0
1243,Zn0.85S0.85Ga0.15P0.15,2.4
1244,Cu2SnSe3,0.83
1245,Sc2CuRu,0.0
1246,CaHg2,0.0
1247,NaAlGeS4,3.6
1248,In0.94As0.94Cd0.06Te0.06,0.68
1249,SnS0.01Se0.99,0.95
1250,SnGa4S7,3.1
1251,ZnIn2S4,2.99
1252,EuTe,2.06
1253,As2S6,2.35
1254,Ti4ZnO8,0.0
1255,CdSb,0.46
1256,MgTi4O6,0.0
1257,EuH2,1.85
1258,BiAs2Os,0.0
1259,DyAl8Cu4,0.0
1260,Pr2YbCuS5,1.25
1261,Pb0.85Sn0.15Te,0.13
1262,RuSe2,1.0
1263,EuP2Os2,0.0
1264,MgMnRh2,0.0
1265,CsZn4In5Te12,1.61
1266,B2O3,4.9
1267,Cs3Nb2AsSe11,1.35
1268,TlBr,2.67
1269,CdS,2.6
1270,Tl3VS4,1.97
1271,Si2Te3,2.16
1272,LiGaGe2Se6,2.64
1273,Sc2GaIr,0.0
1274,Nb3VS6,0.0
1275,AlP,2.51
1276,Tl2O3,2.25
1277,Rb9Bi13S24,1.3
1278,Ta2MoOs,0.0
1279,Cu3AsSe4,0.88
1280,Mg3P2,1.4
1281,Sb2S3,1.72
1282,Dy5Pb3,0.0
1283,Li2In2GeSe6,2.3
1284,Ca3B2N4,3.9
1285,Ba3YIr2O9.194,0.0
1286,Hg4P2ZrCl6,3.22
1287,Li3Ti2(PO4)3.12,0.0
1288,Ga0.1As0.1Zn0.9Se0.9,2.34
1289,K2Mo2Se2O11,3.3
1290,GdZnIn,0.0
1291,NdBRh3,0.0
1292,Ga0.65Al0.35As,2.0
1293,LiCo(CO3)2.12,0.0
1294,RuCl3,0.0
1295,Tl2PrInSe4,0.93
1296,In0.5P0.5Ga0.5As0.5,1.75
1297,LiZr2Os,0.0
1298,RuP4,0.38
1299,As2Se3,1.73
1300,YbTe,1.8
1301,Rb2Hg3Ge2S8,2.8
1302,CuBr,3.07
1303,Sn2S,0.85
1304,EuYb2Se4,1.3
1305,ZnS,3.73
1306,EuIn2Se4,1.31
1307,TlCu3Lu2Se5,2.12
1308,CdP4,1.15
1309,K4Nb2S11,2.42
1310,ZnIn2Te4,1.8
1311,AgIn5S8,1.76
1312,SmSi3Pt5,0.0
1313,CdS,2.52
1314,PrTe2,1.02
1315,TiAlAu2,0.0
1316,Cr2HgSe4,0.0
1317,MgMnO3,0.0
1318,Bi2Pd3S2,0.0
1319,CrFeP,0.0
1320,Ba4Si20Au3,0.0
1321,Eu4Te7,0.31
1322,MgZn2,0.0
1323,GaSe,2.1
1324,TlSbTe3,0.38
1325,Li3Co3SbO8.2,0.0
1326,YAl8Cu4,0.0
1327,InN,2.4
1328,Hf5Sb9,0.0
1329,YbSb,1.0
1330,La2Ge2Se7,1.08
1331,YbSi2Rh2,0.0
1332,EuAlO3,0.0
1333,AlSb,1.52
1334,RbCu2AsS3,1.96
1335,BaS,3.9
1336,MgInPd2,0.0
1337,NaSbF6,3.76
1338,Tl2TeS3,1.6
1339,Mg2Sn,0.33
1340,Ce3AlC,0.0
1341,Hg0.63Cd0.37Te,0.35
1342,YbBO3,0.0
1343,EuLi2Sn,0.0
1344,PbI2,2.54
1345,CuFeSe2,0.15
1346,LiGaO2,5.6
1347,Ti2Sb(PO4)3.167,0.0
1348,La5Cu6.33O4S7,2.0
1349,Cd4V3Te3O15,2.66
1350,InP,1.26
1351,In0.99Al0.01P,1.3
1352,Pb0.999Sn0.001Te,0.21
1353,TbMn6Ge6,0.0
1354,CuInSe2,1.07
1355,BaTe,3.4
1356,PrIn,0.0
1357,Ga0.8Al0.2P,2.3
1358,K3Cu3Th2S7,2.49
1359,LiCu5P3O13.2,0.0
1360,YCdPd2,0.0
1361,Tm2TcCu,0.0
1362,ZnGeP2,2.34
1363,CeP2Pt4,0.0
1364,Zn0.95S0.95Ga0.05P0.05,3.0
1365,Li3Mn4O8,0.0
1366,YbAgO2,0.0
1367,Ga0.8Sb0.8Zn0.2Te0.2,1.15
1368,Ta6Be15Cu8,0.0
1369,RePO5,0.0
1370,In0.3P0.3Ga0.7As0.7,1.67
1371,RuP2,0.8
1372,Li4Mn(WO4)3.1,0.0
1373,K2Cd3Te4,2.26
1374,KInSe2,2.68
1375,CuGaSe2,1.71
1376,Ba5In4Te4S7,2.13
1377,Cu0.2Ga1.8S2.8,2.7
1378,NaSbP2S6,2.17
1379,MnSb2O6,0.0
1380,PdI2O6,1.31
1381,Bi2Te2.1Se0.9,0.3
1382,Ag3AsS3,2.1
1383,Na19Zr11S30,0.0
1384,Ca11Ga7,0.0
1385,TlN3,3.58
1386,Re2W3C,0.0
1387,ScBPd3,0.0
1388,YbCdHg2,0.0
1389,BaAl2,0.0
1390,CuIn3Te5,1.2
1391,Mg5B3O9F,5.63
1392,FeSn,0.0
1393,TlGaTe2,1.8
1394,Na8NbO6,0.0
1395,ScZnNi2,0.0
1396,PbBr2,3.31
1397,EuTiClO3.12,0.0
1398,Li2HgGe,0.93
1399,YH2,0.0
1400,LiTiSiO4.63,0.0
1401,CuP2(HO3)2.14,0.0
1402,Lu2AgAu,0.0
1403,YZn5,0.0
1404,Sm3Zr,0.0
1405,HgTe,0.15
1406,SmB2Os2,0.0
1407,CdCuSe2O6,3.33
1408,Na4MgGe2Se6,2.53
1409,NiP4O12,0.0
1410,Ga1.005Sb0.995Te0.015,0.68
1411,TaGaSe2,2.15
1412,GaAs0.65Sb0.35,0.68
1413,LiInAg2,0.0
1414,LaZnAu2,0.0
1415,Cu4W(SCl)4.139,0.0
1416,Ba2BiSbO6.2,0.0
1417,Pb0.8Se0.8Ge0.2Te0.2,0.36
1418,TlBr,3.3
1419,Lu2CrS4,1.75
1420,Ti2Cd,0.0
1421,K3B6O10Cl,6.89
1422,Li2HgSiS4,2.68
1423,BaO,4.8
1424,CaTaO2N,2.4
1425,KLi(WO3)3.9,0.0
1426,Cd4GdB3O10,3.8
1427,GaSe,2.13
1428,TaF3,0.0
1429,Ba4CuInSe6,2.23
1430,CdSe,2.27
1431,VTeO5H,2.51
1432,RbCl,8.3
1433,TlInSe2,1.44
1434,EuBiW2O9,3.63
1435,Hg0.8Cd0.2Se,1.3
1436,ZnSnP2,1.45
1437,CeIr5,0.0
1438,Na2ZnGe2Se6,2.36
1439,Hg4As2CdI4,1.45
1440,ZnS,3.69
1441,Li8PO3,0.0
1442,BiI3,2.03
1443,Fe2TiSi,0.4
1444,AsSeBr,0.0
1445,LiNbO3,4.3
1446,SnBr2,3.4
1447,Cd2PbO4,0.0
1448,BTe2As,0.0
1449,K3CdB5O10,3.47
1450,TbGa3,0.0
1451,In0.9P0.9Ga0.1As0.1,1.32
1452,ErNi4B,0.0
1453,LaCuOTe,2.31
1454,Bi2O3,2.91
1455,ZnS,3.85
1456,CaBi2O4,3.08
1457,AgCNO.65,0.0
1458,Cr2S3,1.1
1459,YbAl4Mo2,0.0
1460,EuFe2Si2,0.0
1461,CuFeS2,0.43
1462,TaGaS2,2.46
1463,NaHg,0.0
1464,Pb0.93TeIn0.07,0.32
1465,CsF,10.0
1466,AsSI,2.05
1467,YRe4Si2,0.0
1468,Rb2Cu2Sb2S5,1.6
1469,CdSb,0.47
1470,TlCoBi,0.0
1471,As2S5,2.48
1472,ScPPt,0.0
1473,KSbS2,1.8
1474,K2Ta15O32,0.33
1475,GeSe,1.28
1476,EuAl2O4,2.74
1477,TlInSe2,1.22
1478,GaSe,2.04
1479,In0.8P0.8Ga0.2As0.2,1.4
1480,Pb0.98Se0.98Bi0.04Te0.06,0.28
1481,Yb3Tc,0.0
1482,ZrSi2,0.0
1483,Sb8O11I2,2.72
1484,BaPt5,0.0
1485,NaIrPb,0.0
1486,Sr8Co8O23,0.0
1487,TlMo3Se3,0.0
1488,Zn0.99S0.99Ga0.01P0.01,3.7
1489,Mn3Ta2O8,1.89
1490,PW5O17,0.0
1491,Li2Fe3CoO8.4,0.0
1492,Y2Ge5Ir3,0.0
1493,RbBr3,0.0
1494,CsCd4Ga5Te12,1.67
1495,SrCo2P2,0.0
1496,CdIn2Se4,1.57
1497,Ca3N2,1.55
1498,Zr3O,0.2
1499,GaSe,2.12
1500,PmLi2Ge,0.0
1501,PtS,0.64
1502,CaMn2As2,0.0
1503,Li5La3Nb14O42.12,0.0
1504,Ti3Pt5,0.0
1505,Na2Ti2Sb2O.139,0.0
1506,Na5GdMo4O16,3.38
1507,CaMg2N2,3.25
1508,Ag2ZnSiS4,3.28
1509,PtP2,0.6
1510,In2Se,0.65
1511,ThPd3,0.0
1512,PbO2,1.45
1513,Zr3NiO,0.0
1514,TlSe,0.75
1515,TlCl,3.5
1516,Ce3In3Ru2,0.0
1517,Li4MgNi3O8.166,0.0
1518,TlCl,3.23
1519,K1.83Cd1.83Bi2.17S6,1.37
1520,EuLu2Se4,1.7
1521,Cu0.4In1.6Se2.6,1.32
1522,K4GeSe4,0.64
1523,Cu3GdTe3,0.52
1524,NaSmP2S6,2.54
1525,CeB2C2,0.0
1526,CeAl3Ni2,0.0
1527,TbCo2Ge2,0.0
1528,KZn4B3O9,2.32
1529,K2CuGa3Se6,1.72
1530,Rb2AgVS4,1.83
1531,RbCl,8.2
1532,Na3Re,0.0
1533,Hf5Pb,0.0
1534,Li8Ti16CuS32.1,0.0
1535,RbSbS2,2.13
1536,Bi2Te2.4Se0.6,0.27
1537,Mg3Ge,0.0
1538,RbVP2S7.5,0.0
1539,Ni2Mo3N,0.0
1540,Cu0.3Ga1.7S2.7,2.55
1541,TlBr,3.12
1542,Al0.74Gd3Si0.7S7,2.34
1543,Cu0.05Ga1.95S2.95,2.64
1544,Dy2S3,2.91
1545,Ba2B6O9(OH)4,6.53
1546,Se3Te,1.87
1547,Ca2CdPb,0.0
1548,PrIr2,0.0
1549,PbBiO2Br,2.3
1550,Li3Cu2O4,0.0
1551,Pb0.99Ge0.01Se,0.27
1552,Pb0.85Se0.85Sn0.15Te0.15,0.18
1553,SrAl,0.0
1554,As2S3,3.0
1555,NaInTe2,1.6
1556,MgNiSb,0.0
1557,AgTe,0.73
1558,Sc3Mn2Ga6,0.0
1559,Na15Sn4,0.0
1560,TiS3,0.9
1561,NaCl,8.4
1562,GaSe,2.07
1563,HgCuSe2O6,3.25
1564,Bi2P3O12,0.0
1565,EuSnAu2,0.0
1566,SiAs,1.57
1567,La3CuGeSe7,2.0
1568,SnS,1.3
1569,LuAl2Pd5,0.0
1570,Gd2Mo3O12,4.18
1571,Y2C3,0.0
1572,LiZn(Fe5O8)2.160,0.0
1573,In6Se7,0.72
1574,Mg2GeSe4,2.02
1575,Hg8As4Bi3Cl13,2.43
1576,PrSm3,0.0
1577,LiAlB14,2.05
1578,UNiSn,0.0
1579,LiGaAu2,0.0
1580,PbTe,0.22
1581,Dy2TlCd,0.0
1582,Zr3Al2,0.0
1583,PrAs,1.0
1584,AlN,6.2
1585,Sm2RuAu,0.0
1586,Ta0.67Zr1.33O0.42N2.61,1.93
1587,GaSe,2.15
1588,Hg0.01Zn0.99Te,2.17
1589,Pb0.85Se0.85Sn0.15Se0.15,0.22
1590,Sb2Se3,1.06
1591,ZrSe3,1.25
1592,CuInS2,1.57
1593,Zn3In2S6,2.8
1594,SmCoC2,0.0
1595,Ag3AsS3,2.0
1596,TbZrSb,0.0
1597,AgGaS2,2.73
1598,Na4MgSi2Se6,2.85
1599,HoN,1.9
1600,Fe12As5,0.0
1601,AgPbBiS3,1.2
1602,K2Gd2Ti3O10,3.3
1603,CuInSe2,0.92
1604,Na11Ti20O40,0.0
1605,Sb2Te3,0.22
1606,NaCuO,0.0
1607,Ag3SbS3,2.08
1608,EuZn,0.0
1609,BaAs2Pd2,0.0
1610,Fe4I3O24H15,2.3
1611,ZnMoSb2O7,3.3
1612,Li3Ni2(GeO4)3.230,0.0
1613,VO2,0.65
1614,La2Ga2GeS8,2.78
1615,LaFe4As12,0.0
1616,DyTe1.7,0.35
1617,TiAsRh,0.0
1618,CdS,2.59
1619,CaPrZn2,0.0
1620,Na3Tl,0.0
1621,GeSe,1.1
1622,LaB6,4.1
1623,Pr2Sr2PtO7.07,3.05
1624,In4As5O12Br3,4.22
1625,CsGaSn2Se6,1.87
1626,Ag7AsSe6,1.0
1627,Ge0.7Si0.3,0.88
1628,CeO2,3.41
1629,AlN,6.03
1630,In0.9As0.9Cd0.1Te0.1,0.69
1631,Pr6Fe13Si,0.0
1632,ZnSe,2.79
1633,VTc,0.0
1634,GeSe2O6,5.31
1635,Mn3NiN,0.0
1636,CdGa2Se4,2.43
1637,SrV13O18,0.0
1638,Ti2TcNi,0.0
1639,Pb2N2SeO9,3.76
1640,BaAlCu4O7.186,0.0
1641,TlInSe2,1.1
1642,LiMoIO6,2.8
1643,Cu0.9In1.1Se2.1,1.06
1644,Ga0.95Sb0.95Cd0.05Te0.05,0.74
1645,GeSe,1.08
1646,Mn2CoAs,0.0
1647,BePd3,0.0
1648,AgBr,2.52
1649,As2S3,2.06
1650,K2ZnSn3S8,2.15
1651,FeSc2,0.77
1652,SmCuOS,2.9
1653,Pb0.8Sn0.2Se,0.06
1654,BMo,0.0
1655,Ho5Si4,0.0
1656,YbIn4Ni,0.0
1657,Ga0.5Al0.5As,2.12
1658,CoW2O8,0.0
1659,Zn3Sb2,0.11
1660,DyCo2Ge2,0.0
1661,RbI,6.1
1662,BaSi2,1.3
1663,Ga9Rh2,0.0
1664,Th2CrN3,0.0
1665,Ga1.01Sb0.99Se0.03,0.62
1666,Zr5Sn3,0.0
1667,PmMgAu2,0.0
1668,Li7Ti16O32,0.0
1669,Li9Fe3(WO4)7.160,0.0
1670,KBiSe2,0.61
1671,CsInGeSe4,2.32
1672,Hg7.5As4Cl6,1.73
1673,Pr2S3,2.68
1674,GeS,1.68
1675,Li2B12Si2,2.27
1676,PrCo4B,0.0
1677,MnGaNi2,0.0
1678,Ir0.67S2,2.0
1679,KF,10.3
1680,SbSI,1.95
1681,RbF3,0.0
1682,SiTe2Os,0.0
1683,Ba3PN,0.0
1684,TiTe2,1.0
1685,BaSnO3,3.1
1686,MnGaPt,0.0
1687,K2Te,1.9
1688,EuSeClO3.62,0.0
1689,LiLu2Ga,0.0
1690,Pm2LiGa,0.0
1691,Cu3AsS4,1.48
1692,Mn5Ge2,0.0
1693,Cd4YB3O10,3.78
1694,Ag3SbS3,1.75
1695,In2Co,0.0
1696,Cu3DyTe3,0.34
1697,CdIn2S4,2.0
1698,BiSBr,1.88
1699,CdSb,0.53
1700,VIr3,0.0
1701,PbCdP4O12,4.85
1702,Hg0.1Zn0.9Te,1.83
1703,TbIn3S6,1.2
1704,UVC2,0.0
1705,LiAsSe2,1.11
1706,Re2PbO6,0.0
1707,Cu3Se2(ClO3)2.12,0.0
1708,PmSnRh2,0.0
1709,InAs,0.35
1710,CaCdSi,0.0
1711,Sr5V3O12F,4.5
1712,CdGa2Se4,2.1
1713,Pb0.72Se0.72Sn0.28Te0.28,0.12
1714,CdS,2.66
1715,SnS0.8Se0.2,1.07
1716,PbTe0.05Se0.95,0.26
1717,Na2ZnSn2S6,2.93
1718,PrB4,0.0
1719,Sm2O3,5.0
1720,ZnSnSb2,0.3
1721,Ti2RuOs,0.0
1722,TeSe3,1.4
1723,UAu2,0.0
1724,InSb,0.25
1725,LiGeRh2,0.0
1726,Ag3AsSe3,1.98
1727,EuSn3,0.0
1728,ZrPd3,0.0
1729,NdTe,0.0
1730,Ba2GaYTe5,1.08
1731,LiMgAs,0.7
1732,Zn0.2Ba2B2S5.2,3.54
1733,Zn0.75Cd0.25Se,3.2
1734,Hf5Sn3,0.0
1735,Te3MoWS.156,0.0
1736,K3Cr2P3S12,1.35
1737,Hg0.25Zn0.75Te,1.37
1738,Hg0.2Zn0.8Te,1.46
1739,AlSb,1.32
1740,NaSi2Pd3,0.0
1741,PbS,0.44
1742,CaCu5,0.0
1743,CdTe,1.58
1744,Rb4Ge3B6O17,5.42
1745,Cu4H10SO12.7,0.0
1746,Er3Al3NiGe2.189,0.0
1747,LiCd2Rh,0.0
1748,MnP2,0.0
1749,Ba23Ga8Sb2S38,2.84
1750,CdGa2Se4,2.25
1751,NaSbS2,1.8
1752,Ge3Sb,0.0
1753,TlScSe2,0.79
1754,ReBiO3,0.0
1755,RbBi2,0.0
1756,Eu2Se3,1.02
1757,TmAl4Ni,0.0
1758,Pb0.8Sn0.2Se,0.06
1759,Pb2Bi5.9La2.1S14,1.0
1760,SrZnSb2,0.0
1761,Bi14.7In11.3S38,1.45
1762,TaAs,0.0
1763,AlPd5I2,0.0
1764,ZnS,3.56
1765,SmAs2Au,0.0
1766,RbGeB3O7,5.58
1767,GaSe,2.0
1768,SnS0.4Se0.6,0.98
1769,Mg2Co,0.66
1770,Al2Ru,0.0
1771,CuBr,3.08
1772,Ca5Bi14O26,2.6
1773,Cs2TeBr6,2.12
1774,PtN,0.0
1775,Ba2AgInS4,2.32
1776,CdS,2.6
1777,InPS4,3.12
1778,PrB6,4.9
1779,CuInS2,1.54
1780,Li6Mo6Se6O33,3.3
1781,V3Ag,0.0
1782,HfSe2,2.2
1783,Sc5Pb3,0.0
1784,CuYO2,3.5
1785,Cs2P2Se8,2.44
1786,Pr4Sb3,0.0
1787,CuGaTe2,1.18
1788,CuGaS2,2.4
1789,SbRh3,0.0
1790,NaNb2PS10,1.72
1791,Ag0.1Cd0.8In2.1Te4,0.29
1792,Pb0.85Se0.85Ge0.15Te0.15,0.32
1793,MgCo2(PO5)2.70,0.0
1794,Sc5Bi3,0.0
1795,Sc2Al3Ru,0.0
1796,GaSb,0.81
1797,YbMgPd,0.0
1798,HfB,0.0
1799,La2PC,0.0
1800,Ag3AsSe3,2.1
1801,Rb2Cd3S4,2.92
1802,GaAs,1.52
1803,Na2In2GeS6,3.17
1804,Li2Ti3FeO8.160,0.0
1805,LiMnCuO4.74,0.0
1806,Ba2CaOsO6.225,0.0
1807,Y2AlZn,0.0
1808,Cu2Ga4Te7,1.08
1809,Ag3AsS3,1.98
1810,ZnO,3.48
1811,Li17Ti20O40,0.0
1812,ZnS,3.6
1813,CeSiI,0.0
1814,CdSe,1.83
1815,ThSi2Ru3,0.0
1816,CrIrO4,0.0
1817,Zr5SiSb3,0.0
1818,SmTe,0.35
1819,CdSb,0.58
1820,BiSb0.15,0.02
1821,AgSbSe2,0.62
1822,InP,1.41
1823,IrP2,1.1
1824,OsPSe,1.4
1825,Tm5Ti5O17,0.0
