,composition,Tc
3175,La1Pt1.9Ge2.1,1.67
3177,Mo5Ru1Se8,3.7
3181,Sn93In3.5Sb3.5,3.7430000000000003
3184,Nd1.85Ce0.15Cu0.995Ni0.005O4,11.6
3185,Y0.79Gd0.21Ni2B2C1,7.81
3186,Nb3Al0.964Si0.036,18.4
3188,Mo0.5Pb0.5,3.52
3189,H0.75Nb0.85Pd0.15,4.66
3191,Y1Ba2Cu2.95Zn0.05O6.85,66.19
3192,Sm1.15Ba1.85Cu3O7,83.0
3194,Ho1Rh1.6Ir2.4B4,2.2
3197,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,66.0
3198,La1Rh2Si2,1.6580000000000001
3199,Pb2Sr2Ho0.5Ca0.5Cu2.94Al0.06O8,51.8
3200,Au0.98Pd0.02Ga2,1.51
3202,La3Se4,8.326
3204,Y0.45Dy0.55Ni2B2C1,5.2
3207,Ba1Ga0.78Si1.22,4.0
3210,Gd0.01Nb0.99,9.19
3213,Ca1.65Na0.35Cu1Cl2O2,28.0
3214,Al0.9Ge0.1,6.45
3215,La1.943Sr0.089Cu1O4,24.6
3217,Tm0.93Ca0.07Ba2Cu4O8,83.3
3218,Y1Ba2Cu3.928Zn0.072O8,31.0
3219,Ba0.15La1.85Cu1O4,28.0
3221,Na0.23W1O3,2.16
3222,Ca7.62La2.38Pt3Fe10As18,26.0
3224,Y1Sr2Cu2.75W0.25O7.1,51.0
3227,Nb0.25Re0.75,6.75
3228,Y1Ba2Cu3O6.59,60.55
3230,La1Nd0.89Ce0.11Cu1O3.978,19.8
3231,Nd1Ba2Cu3S1O5,56.0
3233,Mg10Ir19B16,4.0875
3234,Re2Y1,1.83
3235,La1.89Sr0.11Cu0.995Fe0.005O4,14.7
3236,Rh1Se2,4.35
3237,Ca1Fe1.87Co0.13As2,17.2
3238,Lu0.8Ca0.2Ba2Cu3O6.81,52.0
3240,Hg1Ba2Ca1Cu2O6.3,100.0
3242,Nd1Fe0.9Co0.1As1F0.11O0.89,9.0
3244,Sr0.5Ce0.5Bi1S2F1,2.8
3245,Nd1.65Sm0.2Ce0.15Cu1O3.971,21.6
3246,Y1Ba2Cu2.82Ga0.18O7,79.24
3248,Na0.33H2.86Co1O3.42,4.5
3250,Nd1.5Ce0.5Sr2Cu2Nb1O10,22.1
3251,Lu5Ir4Si9.8Ge0.2,5.8
3252,Pb2Sr2Y0.61Ca0.39Cu3O8,77.0
3253,Rh0.025Ti0.975,1.79
3254,Pt0.43W0.57,2.09
3255,Y1Ba1.9La0.1Cu3O6.99,90.675
3256,Rb0.27W1O2.93,3.0
3257,Ba0.5K0.5Fe1.7Co0.3As2,13.56
3258,Nd1.65Y0.2Ce0.15Cu1O4,17.3
3261,La1.79Sr0.21Cu0.94Ni0.06O4,28.3
3262,Nb0.13Zr0.87,6.42
3263,Y0.9Ca0.1Ba2Cu3O6.03,19.8
3264,Os0.001Re0.999,1.71
3265,Nb80.7Sn1.9Al1.9Ge15.5,7.8
3266,In0.11O3W1,2.025
3267,Y0.5Pr0.5Ba2Cu3O6.98,21.9
3271,La0.68Eu0.2Sr0.12Cu1O4,5.0
3272,La1.5Nd0.4Sr0.1Cu1O4,8.906666667
3274,La1Fe1As1O0.85,25.76666667
3275,Y1Ba2Cu3O6.951,91.19
3276,Hg0.8Mo0.2Ba2Ca1Cu2O6.4,127.0
3279,Bi2Sr2Cu1O6.16,10.0
3281,Y0.8Ca0.2Ba2Cu2.85Co0.15O6.84,86.0
3283,In0.15Nb3Sn0.85,18.26
3284,Nb3Ga0.05Sn0.95,18.3
3289,Nb2.94Ta0.06Al1,17.7
3291,Pr1Os0.2Ru3.8Sb12,1.16
3292,La2Cu1O4.044,34.0
3293,Nb3Rh0.9Pd0.1,2.55
3294,Ti0.6V0.4,7.15
3295,Ce1Bi3.1Pb0.9Te6,2.8
3296,Sn0.8In0.2Te0.7Se0.3,3.5
3297,Au1Zn3,1.245
3298,Hg1Ba2Cu1O4.096,95.6
3299,Ta0.78W0.22,1.36
3301,Cs1Rb2C60,31.0
3303,Sr0.4La0.6Bi1S2F1,2.96
3305,Y1Ru3.5Si2,3.51
3307,Ba1Al0.95Si1.05,2.8
3308,Ce1Ir1Si3,1.53
3309,Tl0.54K0.46Fe1.88Se2,30.4
3310,La1Fe0.9Ir0.1As1O1,10.9
3312,Nb0.7425Zr0.0075Al0.25,17.4
3314,Bi1.95Sr1.85La0.2Cu1O4,27.0
3315,Y1Ba2Cu3H0.13O7,93.5
3316,Ru0.9Ir0.1Sr2Gd1Cu2O8,22.0
3317,Ca0.85Ce0.15Ba1La1Cu3O7.07,52.4
3319,Hf1Ru1P1,11.79666667
3320,Pb0.1Yb0.9Mo6Se8,6.3
3321,Zr0.96V0.04B2,8.7
3322,Y1.8Cr0.2C2.9,12.4
3325,Bi1.95Sr1.75Nd0.3Cu1O4,30.0
3326,Ga0.25Nb0.75,20.0
3327,Th1Ir1.2Ru0.8,1.45
3329,Y0.8Pr0.2Ba2Cu3O6.75,41.5
3332,Y1Ba1Sr1Cu3O6.94,79.0
3333,Sn1.1Mo6Se7.5,4.2
3334,Bi2Sr2Ca1Cu2O8.19,89.26666667
3336,Er1Ni2B2C,11.0
3337,Yb0.9Ca0.1Ba1.2Sr0.8Cu4O8,84.0
3338,Sn0.04V0.96,1.86
3339,Nb1N0.98O0.02,17.7
3340,Pb0.06Tl0.94,2.7
3341,Ba0.51K0.49Bi1O3,17.2
3342,Bi2Sr2Ca1Cu2O8.242,73.9
3344,Na0.5Zr1N1Cl1,15.0
3346,Tl1Ba2Ca0.9Gd0.1Cu2O7,91.8
3347,Bi1.95Sr1.65La0.4Cu1O6.343,26.5
3349,Gd0.95Hf0.05Ba2Cu3O6.91,86.9
3350,Ba0.59K0.41Bi1O3,31.0
3351,Sm1.665Gd0.185Ce0.15Cu1O4,13.0
3353,Nb0.6Zr0.4,10.525
3354,Rh0.8Ru0.2Se2,1.33
3355,Lu5Ir4Si9.5Ge0.5,6.0
3359,V2.802Ta0.198Ga1,12.3
3361,La1Fe0.905Zn0.095As1F0.28O0.68,3.5
3362,La2.1Gd0.7Ca1.4Ba2.8Cu0.7O16.471,79.0
3363,Bi1.4Pb0.6Sr2Ca2Cu3O7,108.5
3365,Ti0.2Zr0.8,1.01
3368,Y1.3Th0.7C2.7,16.8
3369,V0.75Ge0.225Al0.025,8.6
3370,Pd2Y0.9Yb0.1Sn1,4.37
3373,Ce0.1Nd0.9Bi1S2F0.5O0.5,4.68
3374,Ba1Pt0.3Si1.7,2.6
3375,Co0.03In0.97,3.95
3377,Tl0.75K0.25Fe1.84Se2,29.8
3378,Hg1Ba2Cu1O4.2,94.2
3379,Lu2Ir2.97Rh0.03Si5,4.6
3380,Ba0.5K0.5Fe1.9Ru0.1As2,37.14
3381,Ru0.05Ti0.95,2.5
3383,Eu0.6Pr0.4Ba2Cu3O7,37.8
3384,Tc0.6W0.4,7.89
3385,Zr1P1S1,3.6
3386,Nb0.85Ta0.15,8.08
3387,B2.8C97.2,4.0
3389,K0.8Fe1.78Se2,32.0
3391,Y0.8Ca0.2Ba2Cu3O6.4,52.6
3392,Tl1Ba2Ca0.7Gd0.3Cu2O7,81.25
3393,Sr1Fe1.6Co0.4As2,12.9
3395,La1Fe0.991Zn0.009As1F0.08O0.9,15.6
3398,Bi2Sr2Ca1Cu2O8.373,47.2
3400,Y1Ba2Cu2.6Fe0.4O7.401,82.0
3401,Tl1Ba0.3Sr0.7La1Cu1O5,30.0
3402,La0.9Y0.1Ni1C2,2.29
3404,Hf0.909W0.091,2.38
3405,Pr1Fe1As1O0.85,48.2
3407,Nd1Bi0.9Pb0.1S2F0.3O0.7,4.83
3408,Pb0.5Cu0.5Sr0.8La1.2Cu1O5.01,38.7
3411,Ba1Fe1.78Co0.22As2,16.23
3412,Na0.4Co1H2.6O3.3,2.0
3413,Nb3Al0.67Zn0.33,17.3
3415,Y1Ba2Cu2.994Zn0.006O6.63,60.0
3416,La1.6Nd0.2Ba0.2Cu1O4,11.0
3417,Cs0.1Li0.1W1O2.8F0.2,2.1
3418,Sm1.45Gd0.4Ce0.15Cu1O3.97,19.2
3419,Bi2Sr2Ca1Cu2O,87.0
3422,Ba0.5K0.5Fe1.8Cu0.2As2,11.83
3425,Cu0.1Pb0.9,6.5
3426,Ca1Pb1,7.0
3427,La1F0.05Fe1As1O0.95,26.0
3428,Nb3Al0.8Ga0.2,18.54
3429,Os0.025Zr0.975,2.97
3430,Y0.57Pr0.43Ba2Cu3O7,22.0
3432,La1.84Sr0.16Cu0.99Mn0.01O4,30.4
3434,Y0.85Ca0.15Ba2Cu2.85Zn0.15O6.85,43.0
3435,Y1Pt2B2C1,10.5
3438,Bi0.26Pb0.74,8.3
3439,Nd1.65La0.2Ce0.15Cu1O4,21.2
3440,Bi0.5La1.5Sr1Cu2O6.02,28.0
3441,Mo0.23Re0.77,9.25
3442,Al0.23Nb0.75Zr0.013,18.3
3443,Ca0.85Eu0.15Fe1As2,12.2
3445,Rb1Eu1Fe4As4,36.5
3447,Y1Ba1.5La0.5Cu3O7.22,36.6
3448,Bi1.6Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7
3449,Hf0.1Nb0.9,9.6
3451,Au0.25Te0.75,1.85
3454,Re0.73W0.27,8.3
3455,La2.5Y0.5Ca1Ba3Cu6.86Fe0.14O16.578,77.0
3456,Hf0.4Zr0.6V2,8.98
3459,Fe1Se0.82,7.83
3461,Yb0.7Pr0.3Ba2Cu3O6.87,67.2
3463,Tl0.5Pb0.5Sr2Ca1Cu2.98Zn0.02O7,71.0
3465,La1.775Nd0.1Sr0.125Cu1O4,27.0
3468,La1Fe1As1H0.35,29.0
3469,Pr1Fe1As1F0.154O0.846,46.4
3470,In0.04Pb0.96,7.075
3471,Ba1Fe1.88Ni0.12As2,18.6
3472,Ga0.222V0.778,12.3
3473,Sb0.66Tl0.33,5.2
3474,Bi4Sr4Ca0.5Tm1.5Cu4O16.91,1.5
3475,Nb2.5Ta0.5Sn1,17.6
3476,La1Tl2.25Sn0.75,1.05
3477,Pb0.6Cu0.4Sr1.1La0.9Cu1O5.19,25.0
3478,Ca1Fe0.93Co0.07As1H1,23.0
3479,La1.92Sr0.08Cu1O3.994,20.3
3480,Pb1.13Ta1S3.13,3.08
3484,Eu1.6Pr0.4Ba4Cu7O14.761,63.0
3486,Mg0.7Al0.15Li0.15B2,28.55
3488,Nd1Ba2Cu3O6.86,78.6
3490,Gd0.93Ca0.07Ba1Sr1Cu3O6.8804,53.5
3491,Gd1Ba1Sr1Cu3O7,82.0
3493,Bi3Ni0.95Fe0.05,4.08
3495,La3Pd5Si1,1.4
3496,Nd1.48Gd0.37Ce0.15Cu1O4,18.0
3499,Y1Ba1.9La0.1Cu3O6.5,32.9
3501,B0.69Mg0.31,5.7
3502,Pr0.55Nd0.45Os4Sb12,1.01
3503,Nb2.73Ti0.27Al1,11.5
3504,Bi2Sr2Ca2Cu3O1,114.0
3505,Th0.8Nd0.2Ru2,4.55
3506,B3Mo6S8Sn1,15.0
3507,Dy0.8Tm0.2Ni2B2C1,3.42
3511,Mg0.8Zn0.2C1.05Ni3,4.0
3512,Y1Sr2Cu2.7W0.3O6.9,26.0
3513,Sm1Ba2Cu3O6.92,90.0
3514,Y1Ba2Cu2.91Zn0.09O6.73,25.0
3515,Mg1C1Ni2.975Fe0.025,5.17
3516,Nb77.9Sn11.1Al5.5Ge5.5,13.0
3521,Nd1Ba2Cu2.85Ga0.15O6.62,23.0
3522,Li1Ti2O4,11.87272727
3524,N0.93Nb1,13.3
3525,Sr2.5Ca11.5Cu24O41,2.5
3526,La0.8Na0.2Fe1As1F0.2O0.8,23.02
3527,Ca1Ga1Si1,4.2375
3529,Ta1Se3,2.0
3530,Tm1Rh1.3Sn4,2.07
3531,Bi2Sr1.4Ca1.6Cu2O8.2,81.1
3532,V3Ge0.9Al0.1,8.8
3533,Lu1Rh4B4,10.093625
3534,Y2Ba4Cu7O14.03,4.3
3535,B2.32Nb1,9.8
3536,Pd2Y0.85Dy0.15Sn1,2.8
3537,Y1Ba1.9La0.1Cu3.93Zn0.07O8,17.8
3538,B12Yb0.01Zr0.99,4.4
3539,Er1Ba2Cu2.28Co0.18O6.74,34.0
3540,Nb3Sn0.7Sb0.3,15.8
3542,In0.78Tl0.22,3.18
3543,Lu0.9Tb0.1Ru1B2,4.76
3544,V0.26Zr0.74,5.9
3546,La1.925Ca0.075Cu1O4,9.2
3547,La1Fe0.9997Mn0.00025As1F0.11O0.89,22.8
3548,Nb1C0.5Ni0.5,17.3
3549,Tc0.3W0.7,5.75
3550,Nb3Ga0.5Al0.5,18.5
3553,Er0.64Ca0.36Ba1.4Sr0.6Cu2.76Co0.24O6.8,48.0
3554,Bi2Sr2Ca1Cu2O8.197,74.0
3555,La1Sn2,3.6
3558,Bi1.85Pb0.35Sr1.9Ca2.1Cu3.1OY,112.0
3559,Gd0.8Pr0.2Ba2Cu3O6.95,53.1
3560,Fe0.98Ni0.02Se0.3Te0.7,2.1
3561,Tl1Ba2Ca1Cu2O8,105.98166670000002
3563,La1.85Sr0.15Cu0.985Zn0.015O4,20.175
3564,Sn0.65Tl0.35,7.1
3565,Sr1Pd1.8Ag0.2Ge2,2.52
3566,Y1Ba2Cu2.97Ti0.03O6.92,82.0
3567,Ta0.7V0.3,3.0
3569,Gd1Ba2Cu3O6.94,90.8
3570,Cu0.08Ti1Se2,4.14
3571,Nd1.5Ce0.5Sr2Nb1Cu2O10,28.0
3572,La1.8Sr0.2Cu0.995Fe0.005O4,25.5
3574,Y0.97Ca0.03Ba2Cu3O6.97,86.7
3576,Y0.99Ca0.01Ba2Cu4O8,78.7
3577,Mg1.2C1.6Ni3,7.3
3578,Bi1.6Pb0.4Sr2Cu2.9Mo0.1OY,107.0
3579,La1Ir2Ge2,1.5
3580,Y1Ba1.66La0.34Cu3O7.073,56.0
3581,Ba0.82K0.18Fe1.654Co0.346As2,11.0
3582,Nb3Ge0.2Pb0.2Sn0.6,17.84
3583,Cu0.08Ti2Se2,3.95
3584,Si0.108Zr0.892,3.54
3585,Mo5.5Ru0.5Se8,5.43
3586,Nb3Rh0.7Pt0.3,5.1
3587,Nb50Zr25Hf25,10.1
3588,Nb0.75Al0.17Ge0.08,19.8
3592,Li2Pt3B1,2.728
3593,Ge0.21V0.79,6.4
3594,La1Pt1.5Au0.5B2C1,10.65
3595,La0.9Ca0.1Ba1.5Sr0.5Cu3O6.847,68.0
3596,Na0.4H3.6Sb1.16S5.16Ta2O1.8,3.5
3598,Hg0.8Bi0.2Ba2Ca2Cu3O8.2,130.0
3600,La1Ir1Si3,1.473333333
3601,Ba1Cu0.2Si1.8,3.02
3602,Cd0.03In0.97,3.2755
3603,Gd4Fe2As2Te0.9O4,25.0
3604,La0.35Ce0.65Ru2,1.6469999999999998
3605,Hg1Ba2Cu1O4.28,85.0
3607,Mo5.1Pb1S6,14.4
3608,Ce0.03La0.97,1.21
3611,La0.6Th0.4Ni1C2,7.7
3612,Bi1K1,3.6
3613,Y1Ba2Cu3H0.24O6.765,68.0
3614,Y2Ba4Cu7O14.53,60.0
3617,Y1.8Si0.2C2.7,11.3
3618,Re0.9467Os0.0533,1.9340000000000002
3619,Ni22Zr78,3.47
3620,Tm1Ba2Cu3O6.96,89.88
3621,Y1Ba2Cu2.94Zn0.06O6.73,35.0
3622,Y0.88Ca0.12Sr2Cu2.5Fe0.5O6.89,19.0
3625,Dy2Ba4Cu7O14.61,29.0
3627,La1.85Sr0.15Cu0.985Fe0.015O4,5.2
3629,La1.82Sr0.18Cu0.97Co0.03O4,3.0
3633,Ba6Ca2Si46,5.2
3635,Eu1.4Pr0.6Ba4Cu7O14.632,58.0
3636,Tl2Ba2Ca1Cu2O7.876,110.0
3637,V0.003Ga0.974Pb0.026,13.2
3639,La1Fe1As0.8P0.2O1,3.103333333
3640,Mg1Pt1Si1,2.5
3641,Pd1.5Te2,2.21
3645,Nb3Sn0.05Sn0.95,16.9
3646,La1.86Sr0.14Cu0.99Li0.01O4,38.25
3648,La3Ru4Ge13,3.9
3649,La1Ru2.97Fe0.03Si2,6.22
3650,Ho0.9La0.1Ni2B2C1,2.25
3654,Ge0.5Cu0.5Sr2Ca1.8Y0.2Cu3O9.3,77.0
3655,Y2Ba4Cu7O14.6,41.2
3656,Gd0.8Mo0.2Ba2Cu3O6.807,52.5
3657,La1Fe1P1F0.05O0.95,7.21
3658,Y1Ba2Cu3O7.01,89.5
3659,Zr1V1.85Fe0.15,6.41
3660,Nb2.85V0.15Sn1,17.1
3661,Hg1Pb2.1,5.85
3662,La0.8Th0.2,5.15
3663,In0.1Pb0.9,6.8
3664,Fe0.25Ni0.75U6,3.0
3665,Th1.9Er0.1C3,6.8
3667,La1.8Nd0.2Cu1O4.025,15.9
3669,Y1Ba2Cu2.94Ni0.06O6.6,40.1
3670,Y1Ba2Cu3O7.1,91.65
3671,Tl0.5Pb0.5Sr2Ca1Cu2.98Co0.02O7,65.0
3672,Bi2Sr1.5La0.5Ca1Cu2OY,55.63
3673,Nb2.9175Ti0.0825Al1,16.0
3674,Nb3Ga0.5Zn0.5,16.4
3675,Nd1.1Ba1.9Cu3O6.9,92.0
3676,Nb0.8Ga0.15Ni0.05,9.4
3677,Ho0.25Y0.75Ni2B2C1,13.8
3678,Nb0.96Ti0.04N0.9,13.8
3679,U0.99Y0.01Pd2Al3,1.11
3682,Gd0.9Pr0.1Ba2Cu3O6.95,74.3
3683,Y0.8Pr0.2Sr2Cu2.85Re0.15O7,39.1
3685,Mg1.2C1.52B0.08Ni3,6.9
3686,V75Ge20Sb5,5.86
3688,Fe1Se0.91S0.09,10.1
3689,Nb3Sn0.8Ga0.2,17.4
3690,Sr2Tm1Cu3O7.48,58.5
3691,Lu0.1Dy0.9Ni2B2C1,2.485
3693,Ca1Fe1.85Co0.15As2,15.2
3694,Ba1Fe1.906Co0.094As2,17.46428571
3695,Y0.8Pr0.2Ba2Cu4O7.95,74.0
3696,C1Nb0.6W0.4,12.5
3697,Eu1Fe1.2As2P0.8,21.5
3699,Y0.9Ca0.1Ba2Cu3O6.59,68.8
3700,La1Ba0.9Ca1.1Cu3O7.05,71.0
3702,Y1Ba1.9La0.1Cu3.95Zn0.05O8,33.3
3703,Yb0.9Ca0.1Ba1.6Sr0.4Cu3O6.89,62.1
3704,Sr0.958Eu0.042Fe1.76Co0.24As2,13.3
3705,Ce1Co1In4.9Sn0.1,1.02
3708,Nb3Si0.06Sn0.94,17.8
3709,Eu1Ba2Cu3OY,94.8
3710,Pr1.83Ce0.17Cu1O3.99,13.0
3711,Mo5S6Sn1,13.4
3712,Ce1Ir1In4.996Sn0.004,1.043
3713,Tl1Sr1La1Cu1O5.09,30.0
3714,Ba1Fe1.92Co0.08As2,7.833333333
3715,Sm1Fe1As1F0.085O0.915,14.0
3716,Sr0.6La0.4Fe2As2,20.5
3717,Y1Re0.15Ba2Cu2.85O7.13,90.0
3720,La0.998Gd0.002Al2,2.39
3723,La0.8Y0.2Fe1As1F0.11O0.89,30.3
3724,Lu1Os3B2,4.655
3725,Y0.84Sr1.16Ba1Cu2.78S0.22O7,78.1
3726,V3Ga0.2Si0.8,10.5
3729,Ge1V3H0.033,5.83
3731,Dy0.01La0.99,3.77
3732,Cr0.011Ti0.967V0.022,3.6
3733,La0.9Sr0.1Ni1As1O1,3.7
3735,Tb1Os1.5Sn2.6,1.4
3736,Nb40.6Zr19.9Ta39.5,9.9
3737,La1.7Nd0.3Ba2Ca0.6Cu4.6O7.135,77.0
3739,Nb25Ti70Zr5,7.5
3740,Bi1.7Pb0.3Sr2Ca0.75Y0.25Cu1.94Zn0.06O8,60.6
3741,Cs0.4Sr0.6Fe2As2,36.6
3743,Cs0.23W1O3,6.0
3744,Bi2Sr2Ca1Cu2O8.118,91.0
3746,Sr2Ca2Cu3F3.2O6.2,111.0
3747,Sr1Fe2As1.22P0.78,27.35
3750,Y1Ba2Cu2.9Ni0.1O6.92,80.5
3751,Mg2Nb1,5.6
3755,Ru1Sr2Gd0.9Y0.1Cu2O8,32.2
3756,Tm1.83Ca0.17Cu1O3.99,30.0
3758,Bi1.7Pb0.3Sr2Ca0.65Y0.35Cu1.94Zn0.06O8,62.1
3759,Tm5Rh2.4Co3.6Sn18,1.27
3760,P0.2Si0.8V3,16.6
3761,Mg0.97Co0.03B2,36.2
3763,Li2Pd2.94Ni0.06B1,7.7
3766,C0.017N0.632Ta1,11.84
3767,Sm0.716La1.084Sr0.2Cu1O4,18.1
3768,Co0.15Ti0.85,3.8
3769,Y1Ba2Cu2.85Ag0.15OY,91.3
3770,Lu1.86Sc0.14Fe3Si5,3.51
3773,U1Pd2Al2.97Ga0.03,1.64
3774,V3Si0.4Sn0.6,9.8
3778,Y1Ba2Cu2.95Zn0.05O6.72,35.0
3780,Sr2V1Fe1As1O2.9,40.0
3781,Bi2Sr2Ca1Cu2O8.14,81.0
3782,Ga0.05V2Al20,1.53
3786,Y1Ba2Cu3O6.556,58.95
3787,Nb13.75Ta41.25Rh45,3.56
3788,Cr0.099V0.901,3.3
3789,Fe0.5Ba2Ho1Cu2.5O7.49,76.0
3790,Hg1Ba2Cu1O4.058,89.0
3793,Sn0.25Ta0.25V0.5,2.8
3794,Ce0.98Yb0.02Co1In5,1.89
3798,Nb2.55V0.45Al1,14.0
3800,Bi1Sr0.85Nd0.15Cu1OY,13.56
3802,La1Fe1P1O1,5.458571429
3803,Y1Ba2Cu2.6Co0.4O7.03,11.3
3804,Mo0.84Ti0.16C1,12.8
3807,Y1Ba1.2Sr0.8Cu3O6.8,86.0
3809,K1Fe1.932Co0.068As2,1.845
3810,Ce1Fe1As1H0.07O0.93,31.3
3812,Ba0.63K0.37Fe2As2,39.0
3813,Ca10Pt3.72Fe9.28As18,14.9
3815,Y0.8Pr0.2Ba2Cu3O6.81,68.0
3817,Ir0.33V2.67,1.39
3822,La1.8Sr0.2Cu0.983Zn0.017O4,19.8
3823,Nb0.04Zr0.96,4.9
3824,Pr1Pt4Ge9Sb3,1.4
3828,Ba8Ge42Co4,7.0
3829,Sm1Fe0.94Mn0.06As1F0.12O0.88,16.0
3830,La2.9394Ce0.0606In1,5.72
3831,Ca1Al0.8Ga0.2Si1,5.6
3832,Y2I1.4Br0.6C2,10.5
3833,La1.8Nd0.2Cu1O4.086,35.9
3834,Al0.95B0.05Nb3,19.1
3835,Y0.85Gd0.15Ni2B2C1,9.95
3836,Er1Ba2Cu3O6.92,90.0
3837,Y1.8V0.2C2.9,11.5
3838,Dy1Ba2Cu2.7Fe0.3O6.96,10.0
3839,La1Ba2Cu3O6.89,76.0
3842,Ba0.64K0.36Bi1O3,28.5
3843,Mo1Sr2Y1Cu2O8,21.0
3846,Ba1.8Sr0.2Yb1Cu3O6.61,56.7
3848,Ga3Sc1,2.1
3849,Sn3Th1,3.33
3850,V0.749Sb0.157Al0.094,5.1
3851,La1.85Sr0.15Cu0.9925Co0.0075O4,30.6
3852,Na2.9Ba4.5Si46,3.5
3853,Bi2F0.2S2O0.8,3.0
3855,Tm1Ni1.92Fe0.08B2C1,7.39
3856,Ba1Fe2As0.74P1.26,7.73
3858,Na1Pb3,5.62
3860,C60Rb2,29.0
3862,Y1Ba1.8Cs0.2Cu3O6.58,93.3
3863,Sm1Ba2Cu2.7Ni0.3O6.97,24.0
3864,Cu1Te2,1.3
3866,Ba1Pb0.83Bi0.17O3,7.6
3867,Bi0.6Pb0.2S0.2Sr2Ca0.7Nd0.3Cu2O6.95,80.0
3868,Ba1Ti2Sb1.7Sn0.3O1,2.2
3869,Hg1Ba2Cu1O4.37,37.5
3870,Ca10Pt3.97Fe9.03As18,10.75
3871,Cu1Mo6Se8,5.9
3872,Lu1.94Dy0.06Fe3Si5,4.52
3874,Ba0.6K0.4Bi0.969Pr0.031O3,18.4
3875,Zr0.87Hf0.13V2,9.45
3876,Tl1Sr1.9Cr0.1Cu1O5,37.5
3877,Mg1C1Ni2.8Co0.2,7.2
3879,Nd1.6Pr0.4Ba4Cu7O14.603,48.0
3880,Ru1Sr2Gd0.82Nd0.18Cu2O8,21.0
3881,La1.87Sr0.13Cu0.9975Zn0.0025O4,28.92
3883,Bi0.8Rh0.2,2.7
3884,Y0.5Pr0.5Sr2Cu2.85Re0.15O7,26.2
3886,La1Ni1As1F0.06O0.94,3.64
3888,Nb0.36Ti0.64,9.05
3889,Cs1Pb1Bi3Te6,2.7
3890,Hf0.834W0.166,2.79
3892,V75Si2.57Ga22.4,13.32
3893,Y1Ba2Cu2.91Zn0.09O6.77,30.0
3894,Eu1.5Ce0.5Sr2Cu2Nb1O9.955,21.0
3895,Dy0.9Ca0.1Ba2Cu2.7Zn0.3O6.72,21.0
3896,Tl0.4Rb0.4Fe1.7Se2,31.35
3897,Nb3Rh0.1Au0.9,10.8
3898,La0.7Ti0.3Bi1S2O1,2.22
3899,Si2Th1,2.862
3901,Tc0.44Th0.56,5.3
3902,Y0.65Dy0.35Ni2B2C1,10.6
3903,K0.8Fe1.933Mn0.067Se2,32.0
3906,Y1Sr2Cu3O7.5,62.5
3907,Hf0.915Mo0.085,2.13
3908,La0.5Dy0.5Ba1Ca1Cu3O7,55.0
3909,Y0.78Gd0.22Ni2B2C1,7.02
3912,Cu1Co1.98Ir0.02S4,2.79
3914,Y0.9Ca0.1C2,3.15
3915,Y1Ba2Cu3.96Zn0.06O8,50.1
3916,In0.6Pb0.4,6.28
3917,Y0.975Ca0.025Ba2Cu2.975Al0.025O6.89,94.5
3918,Sn0.874Ge0.076In0.05Te1,1.64
3919,V0.6Zr0.4,8.3
3921,Eu1Fe2As1.68P0.32,22.0
3922,Ba0.6K0.4Fe2As2,35.66
3923,Dy1Ba1Sr1Cu3O6.6,14.85
3924,Os0.084Re0.916,1.88
3925,Ir1Zr3,2.13
3926,La1.5Nd0.5Ca1Ba2Cu5O11.872,78.0
3927,La1Ru2.76Co0.24Si2,6.04
3928,Lu0.65Er0.35Ru1B2,6.94
3929,Sm0.25Fe0.75Se0.85,9.2
3930,Nb0.55Ti0.45,9.4
3931,La0.62Dy0.38Fe1As1F0.175O0.825,38.0
3934,Mg0.9Zn0.1C0.98Ni3,4.5
3935,Tm2Ba4Cu7O14.732,88.0
3936,Pd0.02Rh0.31Zr0.67,9.85
3937,In0.005Tl0.995,2.418
3940,Y1Ba2Cu3.92Ga0.08O8,74.5
3945,Cs0.32O3W1,1.12
3947,Bi1.09Ta1Se3.09,1.8
3948,Ir0.94Se2,6.24
3949,Hf1Pd2In1,2.86
3951,Dy1Ba2Cu2.98Ni0.02O6.72,83.0
3953,Eu0.5Sr0.5Ba1.6Pr0.1Cu3O7.07,42.0
3954,Y0.85K0.15Ba2Cu3O6.48,90.15
3955,Ca1.8Na0.2Cu1Br2O2,11.0
3957,Al1Sb1,2.8
3958,Sm1Ba2Cu3O6.86,91.0
3960,Y0.4La0.6Ba2Cu3O6.99,85.0
3962,Ge0.1In0.9,6.2
3963,Ho0.2Dy0.8Ni2B2C1,6.215
3964,Ho1Ba2Cu3O7,92.475
3965,Y1Ba2Cu2.64Fe0.36O7.12,32.0
3967,Tm5Rh3.6Co2.4Sn18,1.57
3968,In0.98Pb0.02,3.45
3969,Y1Ba1.87La0.13Cu4O8,61.0
3971,Sr1Fe1.8Pt0.2As2,15.8
3972,Y1Sr1.2Ba0.8Cu2.5B0.5O7,35.0
3973,Dy1Ba2Cu2.95Ga0.05O6.69,83.0
3975,B6Y1,5.6928571429999995
3977,Tl0.5Bi0.5Sr4Cu2C1O10,53.5
3979,Nb0.75Sn0.125Zr0.125,16.7
3980,Tl1Sr2Ca1Cu2O6.862,15.2
3981,Er0.75Ca0.25Ba2Cu3O6.88,67.5
